bank_name,city,item_name,category,quantity,unit,received_date,shelf_life_days,expiration_date,days_left,avg_daily_demand,supply_status
San Francisco-Marin Food Bank,San Francisco,Broccoli,produce,70,lbs,2026-03-02,7,2026-03-09,-4,42,balanced
Sacramento Food Bank & Family Services,Sacramento,Bananas,produce,151,lbs,2026-03-11,7,2026-03-18,5,86,balanced
Los Angeles Regional Food Bank,Los Angeles,Yogurt cups,dairy,248,cups,2026-02-16,21,2026-03-09,-4,29,surplus
Yolo Food Bank,Woodland,Frozen berries,protein,86,bags,2026-02-26,365,2027-02-26,350,62,balanced
Food Bank of Contra Costa and Solano,Concord,Brown rice,dry,384,bags,2026-03-05,365,2027-03-05,357,27,surplus
Second Harvest of Silicon Valley,San Jose,Bananas,produce,54,lbs,2026-03-10,7,2026-03-17,4,32,balanced
Food Bank of Contra Costa and Solano,Concord,Canned salmon,canned,237,cans,2026-03-04,730,2028-03-03,721,117,balanced
Feeding San Diego,San Diego,Yogurt cups,dairy,392,cups,2026-02-19,21,2026-03-12,-1,41,surplus
Food Bank of Contra Costa and Solano,Concord,Broccoli,produce,297,lbs,2026-03-04,7,2026-03-11,-2,32,surplus
Yolo Food Bank,Woodland,Spinach,produce,221,bags,2026-02-24,7,2026-03-03,-10,23,surplus
Second Harvest Food Bank of Orange County,Irvine,Canned corn,canned,383,cans,2026-02-18,730,2028-02-18,707,118,surplus
Sacramento Food Bank & Family Services,Sacramento,Macaroni,dry,71,boxes,2026-02-16,730,2028-02-16,705,50,balanced
Alameda County Community Food Bank,Oakland,Yogurt cups,dairy,181,cups,2026-02-23,21,2026-03-16,3,29,surplus
Alameda County Community Food Bank,Oakland,Brown rice,dry,284,bags,2026-02-19,365,2027-02-19,343,42,surplus
Second Harvest Food Bank of Orange County,Irvine,Carrots fresh,produce,206,lbs,2026-03-07,21,2026-03-28,15,72,balanced
Sacramento Food Bank & Family Services,Sacramento,Macaroni,dry,300,boxes,2026-03-04,730,2028-03-03,721,43,surplus
Alameda County Community Food Bank,Oakland,Canned black beans,canned,37,cans,2026-02-20,730,2028-02-20,709,55,shortage
Second Harvest of Silicon Valley,San Jose,Canned chickpeas,canned,106,cans,2026-02-19,730,2028-02-19,708,75,balanced
Second Harvest Food Bank of Orange County,Irvine,Carrots fresh,produce,253,lbs,2026-03-12,21,2026-04-02,20,48,surplus
Second Harvest Food Bank of Orange County,Irvine,Canned soup,canned,302,cans,2026-03-13,540,2027-09-04,540,71,surplus
Central California Food Bank,Fresno,Oatmeal,dry,248,boxes,2026-02-27,365,2027-02-27,351,54,surplus
Yolo Food Bank,Woodland,Bell peppers,produce,349,lbs,2026-02-20,10,2026-03-02,-11,29,surplus
Yolo Food Bank,Woodland,Peanut butter,dry,168,jars,2026-02-27,365,2027-02-27,351,33,surplus
Second Harvest Food Bank of Orange County,Irvine,Oranges,produce,133,lbs,2026-02-27,14,2026-03-13,0,95,balanced
Central California Food Bank,Fresno,Frozen vegetables mix,protein,231,bags,2026-02-21,365,2027-02-21,345,55,surplus
Second Harvest of Silicon Valley,San Jose,Canned peas,canned,83,cans,2026-02-20,730,2028-02-20,709,117,shortage
Yolo Food Bank,Woodland,Sugar,dry,127,bags,2026-03-05,730,2028-03-04,722,65,balanced
Second Harvest Food Bank of Orange County,Irvine,Apples,produce,204,lbs,2026-02-27,21,2026-03-20,7,68,balanced
Food Bank of Contra Costa and Solano,Concord,Canned tuna,canned,226,cans,2026-02-19,730,2028-02-19,708,117,balanced
Central California Food Bank,Fresno,Lettuce,produce,356,heads,2026-03-01,10,2026-03-11,-2,108,surplus
Alameda County Community Food Bank,Oakland,Yogurt cups,dairy,182,cups,2026-02-26,21,2026-03-19,6,114,balanced
Food Bank of Contra Costa and Solano,Concord,Onions,produce,195,lbs,2026-02-27,30,2026-03-29,16,33,surplus
San Francisco-Marin Food Bank,San Francisco,Sugar,dry,345,bags,2026-03-07,730,2028-03-06,724,104,surplus
Alameda County Community Food Bank,Oakland,Spaghetti,dry,126,boxes,2026-02-19,730,2028-02-19,708,97,balanced
Second Harvest Food Bank of Orange County,Irvine,Bell peppers,produce,381,lbs,2026-03-08,10,2026-03-18,5,116,surplus
Los Angeles Regional Food Bank,Los Angeles,Canned green beans,canned,277,cans,2026-03-01,730,2028-02-29,718,66,surplus
Sacramento Food Bank & Family Services,Sacramento,Frozen berries,protein,183,bags,2026-03-11,365,2027-03-11,363,67,balanced
Feeding San Diego,San Diego,Canned soup,canned,204,cans,2026-02-23,540,2027-08-17,522,102,balanced
Alameda County Community Food Bank,Oakland,Carrots fresh,produce,261,lbs,2026-02-21,21,2026-03-14,1,81,surplus
Second Harvest of Silicon Valley,San Jose,Yogurt cups,dairy,152,cups,2026-03-03,21,2026-03-24,11,108,balanced
Yolo Food Bank,Woodland,Onions,produce,319,lbs,2026-03-09,30,2026-04-08,26,52,surplus
Yolo Food Bank,Woodland,Peanut butter,dry,102,jars,2026-02-19,365,2027-02-19,343,34,balanced
Central California Food Bank,Fresno,Egg cartons,dairy,53,cartons,2026-03-12,21,2026-04-02,20,82,shortage
Central California Food Bank,Fresno,Lettuce,produce,184,heads,2026-03-02,10,2026-03-12,-1,54,surplus
Los Angeles Regional Food Bank,Los Angeles,Frozen vegetables mix,protein,315,bags,2026-02-24,365,2027-02-24,348,74,surplus
Alameda County Community Food Bank,Oakland,Cheese blocks,dairy,135,blocks,2026-03-11,30,2026-04-10,28,63,balanced
Alameda County Community Food Bank,Oakland,Canned soup,canned,236,cans,2026-03-08,540,2027-08-30,535,109,balanced
Central California Food Bank,Fresno,Pasta,dry,175,boxes,2026-03-08,730,2028-03-07,725,91,balanced
Los Angeles Regional Food Bank,Los Angeles,Flour,dry,297,bags,2026-02-27,365,2027-02-27,351,33,surplus
Alameda County Community Food Bank,Oakland,Cereal,dry,96,boxes,2026-03-12,180,2026-09-08,179,101,shortage
Yolo Food Bank,Woodland,Avocados,produce,31,units,2026-03-04,7,2026-03-11,-2,34,shortage
Food Bank of Contra Costa and Solano,Concord,Canned beans,canned,175,cans,2026-03-02,730,2028-03-01,719,84,balanced
Yolo Food Bank,Woodland,Canned soup,canned,354,cans,2026-03-06,540,2027-08-28,533,88,surplus
Central California Food Bank,Fresno,Onions,produce,118,lbs,2026-03-05,30,2026-04-04,22,112,balanced
Sacramento Food Bank & Family Services,Sacramento,Spinach,produce,290,bags,2026-03-10,7,2026-03-17,4,29,surplus
Sacramento Food Bank & Family Services,Sacramento,Bell peppers,produce,216,lbs,2026-03-07,10,2026-03-17,4,67,surplus
Alameda County Community Food Bank,Oakland,Spaghetti,dry,162,boxes,2026-02-21,730,2028-02-21,710,30,surplus
Los Angeles Regional Food Bank,Los Angeles,Spaghetti,dry,358,boxes,2026-03-10,730,2028-03-09,727,120,balanced
Feeding San Diego,San Diego,Peanut butter,dry,278,jars,2026-02-22,365,2027-02-22,346,44,surplus
Alameda County Community Food Bank,Oakland,Canned salmon,canned,200,cans,2026-02-21,730,2028-02-21,710,24,surplus
Yolo Food Bank,Woodland,Chicken breast frozen,protein,159,packs,2026-02-23,180,2026-08-22,162,110,balanced
Yolo Food Bank,Woodland,Canned corn,canned,223,cans,2026-03-10,730,2028-03-09,727,60,surplus
Central California Food Bank,Fresno,Egg cartons,dairy,37,cartons,2026-03-07,21,2026-03-28,15,118,shortage
Alameda County Community Food Bank,Oakland,Canned corn,canned,365,cans,2026-02-25,730,2028-02-25,714,95,surplus
Yolo Food Bank,Woodland,Chicken breast frozen,protein,28,packs,2026-03-08,180,2026-09-04,175,21,balanced
Yolo Food Bank,Woodland,Canned chickpeas,canned,264,cans,2026-03-12,730,2028-03-11,729,83,surplus
Feeding San Diego,San Diego,Tomatoes,produce,208,lbs,2026-03-06,10,2026-03-16,3,76,balanced
Second Harvest of Silicon Valley,San Jose,Canned black beans,canned,379,cans,2026-02-26,730,2028-02-26,715,39,surplus
Alameda County Community Food Bank,Oakland,Carrots fresh,produce,107,lbs,2026-03-10,21,2026-03-31,18,90,balanced
Sacramento Food Bank & Family Services,Sacramento,Canned salmon,canned,10,cans,2026-02-27,730,2028-02-27,716,112,shortage
Second Harvest Food Bank of Orange County,Irvine,Canned peas,canned,110,cans,2026-03-09,730,2028-03-08,726,31,surplus
Second Harvest of Silicon Valley,San Jose,Chicken breast frozen,protein,145,packs,2026-02-25,180,2026-08-24,164,79,balanced
Feeding San Diego,San Diego,Milk gallons,dairy,389,gallons,2026-02-17,10,2026-02-27,-14,95,surplus
San Francisco-Marin Food Bank,San Francisco,Tomatoes,produce,369,lbs,2026-03-13,10,2026-03-23,10,106,surplus
Los Angeles Regional Food Bank,Los Angeles,Canned soup,canned,217,cans,2026-03-04,540,2027-08-26,531,108,balanced
Second Harvest of Silicon Valley,San Jose,Lettuce,produce,332,heads,2026-02-28,10,2026-03-10,-3,111,balanced
Los Angeles Regional Food Bank,Los Angeles,Bananas,produce,158,lbs,2026-02-18,7,2026-02-25,-16,23,surplus
Second Harvest Food Bank of Orange County,Irvine,Canned black beans,canned,254,cans,2026-03-06,730,2028-03-05,723,58,surplus
Second Harvest of Silicon Valley,San Jose,Lettuce,produce,213,heads,2026-02-16,10,2026-02-26,-15,52,surplus
Feeding San Diego,San Diego,Canned soup,canned,368,cans,2026-02-20,540,2027-08-14,519,109,surplus
Sacramento Food Bank & Family Services,Sacramento,Brown rice,dry,106,bags,2026-02-21,365,2027-02-21,345,84,balanced
Food Bank of Contra Costa and Solano,Concord,Peanut butter,dry,394,jars,2026-02-25,365,2027-02-25,349,72,surplus
Yolo Food Bank,Woodland,Apples,produce,180,lbs,2026-02-24,21,2026-03-17,4,64,balanced
Food Bank of Contra Costa and Solano,Concord,Canned tomatoes,canned,391,cans,2026-02-21,730,2028-02-21,710,101,surplus
Central California Food Bank,Fresno,Canned peas,canned,381,cans,2026-03-05,730,2028-03-04,722,101,surplus
San Francisco-Marin Food Bank,San Francisco,Carrots fresh,produce,174,lbs,2026-02-25,21,2026-03-18,5,35,surplus
Alameda County Community Food Bank,Oakland,Bell peppers,produce,355,lbs,2026-03-13,10,2026-03-23,10,120,balanced
Central California Food Bank,Fresno,Tomatoes,produce,390,lbs,2026-03-11,10,2026-03-21,8,32,surplus
Food Bank of Contra Costa and Solano,Concord,Rice 5lb bag,dry,378,bags,2026-02-17,730,2028-02-17,706,36,surplus
Central California Food Bank,Fresno,Oranges,produce,66,lbs,2026-03-11,14,2026-03-25,12,57,balanced
Second Harvest of Silicon Valley,San Jose,Chicken breast frozen,protein,323,packs,2026-03-10,180,2026-09-06,177,91,surplus
Alameda County Community Food Bank,Oakland,Broccoli,produce,29,lbs,2026-03-02,7,2026-03-09,-4,106,shortage
Food Bank of Contra Costa and Solano,Concord,Pasta,dry,63,boxes,2026-02-24,730,2028-02-24,713,78,shortage
Los Angeles Regional Food Bank,Los Angeles,Canned corn,canned,230,cans,2026-03-05,730,2028-03-04,722,40,surplus
Central California Food Bank,Fresno,Canned green beans,canned,375,cans,2026-03-07,730,2028-03-06,724,24,surplus
Food Bank of Contra Costa and Solano,Concord,Butter,dairy,217,packs,2026-03-03,60,2026-05-02,50,38,surplus
Food Bank of Contra Costa and Solano,Concord,Cheese blocks,dairy,132,blocks,2026-02-27,30,2026-03-29,16,44,balanced
San Francisco-Marin Food Bank,San Francisco,Canned carrots,canned,33,cans,2026-02-22,730,2028-02-22,711,21,balanced
Central California Food Bank,Fresno,Canned tomatoes,canned,141,cans,2026-02-17,730,2028-02-17,706,82,balanced
Second Harvest of Silicon Valley,San Jose,Ground turkey frozen,protein,225,packs,2026-02-26,180,2026-08-25,165,40,surplus
Sacramento Food Bank & Family Services,Sacramento,Canned salmon,canned,96,cans,2026-02-28,730,2028-02-28,717,118,shortage
Second Harvest of Silicon Valley,San Jose,Potatoes,produce,331,lbs,2026-02-22,30,2026-03-24,11,77,surplus
Feeding San Diego,San Diego,Avocados,produce,333,units,2026-03-11,7,2026-03-18,5,84,surplus
Los Angeles Regional Food Bank,Los Angeles,Canned chickpeas,canned,299,cans,2026-03-11,730,2028-03-10,728,99,surplus
Central California Food Bank,Fresno,Lettuce,produce,185,heads,2026-03-07,10,2026-03-17,4,40,surplus
Yolo Food Bank,Woodland,Egg cartons,dairy,304,cartons,2026-03-04,21,2026-03-25,12,26,surplus
Second Harvest of Silicon Valley,San Jose,Avocados,produce,282,units,2026-03-04,7,2026-03-11,-2,79,surplus
San Francisco-Marin Food Bank,San Francisco,Sugar,dry,129,bags,2026-03-05,730,2028-03-04,722,116,balanced
Second Harvest of Silicon Valley,San Jose,Spinach,produce,164,bags,2026-03-10,7,2026-03-17,4,63,balanced
Second Harvest Food Bank of Orange County,Irvine,Canned beans,canned,257,cans,2026-03-10,730,2028-03-09,727,94,balanced
Central California Food Bank,Fresno,Rice 5lb bag,dry,130,bags,2026-02-23,730,2028-02-23,712,120,balanced
Alameda County Community Food Bank,Oakland,Lettuce,produce,165,heads,2026-02-19,10,2026-03-01,-12,61,balanced
San Francisco-Marin Food Bank,San Francisco,Bananas,produce,250,lbs,2026-03-07,7,2026-03-14,1,55,surplus
Yolo Food Bank,Woodland,Canned corn,canned,80,cans,2026-02-27,730,2028-02-27,716,53,balanced
Sacramento Food Bank & Family Services,Sacramento,Brown rice,dry,148,bags,2026-03-03,365,2027-03-03,355,85,balanced
Sacramento Food Bank & Family Services,Sacramento,Canned chickpeas,canned,172,cans,2026-02-19,730,2028-02-19,708,70,balanced
Central California Food Bank,Fresno,Cereal,dry,248,boxes,2026-03-06,180,2026-09-02,173,60,surplus
Second Harvest of Silicon Valley,San Jose,Carrots fresh,produce,178,lbs,2026-03-06,21,2026-03-27,14,28,surplus
Sacramento Food Bank & Family Services,Sacramento,Canned carrots,canned,166,cans,2026-02-18,730,2028-02-18,707,54,surplus
Feeding San Diego,San Diego,Pasta,dry,80,boxes,2026-02-24,730,2028-02-24,713,86,shortage
Food Bank of Contra Costa and Solano,Concord,Frozen berries,protein,123,bags,2026-02-19,365,2027-02-19,343,38,surplus
Alameda County Community Food Bank,Oakland,Onions,produce,176,lbs,2026-02-28,30,2026-03-30,17,68,balanced
Feeding San Diego,San Diego,Onions,produce,213,lbs,2026-02-23,30,2026-03-25,12,118,balanced
San Francisco-Marin Food Bank,San Francisco,Almond butter,dry,14,jars,2026-03-05,365,2027-03-05,357,94,shortage
Second Harvest of Silicon Valley,San Jose,Canned peas,canned,179,cans,2026-02-16,730,2028-02-16,705,61,balanced
Yolo Food Bank,Woodland,Canned chickpeas,canned,363,cans,2026-02-24,730,2028-02-24,713,49,surplus
Alameda County Community Food Bank,Oakland,Tomatoes,produce,180,lbs,2026-03-09,10,2026-03-19,6,49,surplus
Los Angeles Regional Food Bank,Los Angeles,Canned carrots,canned,242,cans,2026-02-18,730,2028-02-18,707,112,balanced
San Francisco-Marin Food Bank,San Francisco,Tomatoes,produce,49,lbs,2026-02-23,10,2026-03-05,-8,22,balanced
Alameda County Community Food Bank,Oakland,Rice 5lb bag,dry,295,bags,2026-03-03,730,2028-03-02,720,83,surplus
Los Angeles Regional Food Bank,Los Angeles,Chicken breast frozen,protein,304,packs,2026-03-01,180,2026-08-28,168,117,balanced
Second Harvest of Silicon Valley,San Jose,Canned corn,canned,12,cans,2026-03-07,730,2028-03-06,724,72,shortage
Sacramento Food Bank & Family Services,Sacramento,Rice 5lb bag,dry,76,bags,2026-03-05,730,2028-03-04,722,34,balanced
Food Bank of Contra Costa and Solano,Concord,Butter,dairy,184,packs,2026-02-19,60,2026-04-20,38,114,balanced
Second Harvest Food Bank of Orange County,Irvine,Carrots fresh,produce,29,lbs,2026-03-03,21,2026-03-24,11,20,balanced
Alameda County Community Food Bank,Oakland,Onions,produce,284,lbs,2026-03-13,30,2026-04-12,30,85,surplus
Alameda County Community Food Bank,Oakland,Cheese blocks,dairy,329,blocks,2026-02-19,30,2026-03-21,8,100,surplus
Alameda County Community Food Bank,Oakland,Canned salmon,canned,73,cans,2026-02-19,730,2028-02-19,708,42,balanced
San Francisco-Marin Food Bank,San Francisco,Egg cartons,dairy,114,cartons,2026-03-01,21,2026-03-22,9,112,balanced
Second Harvest of Silicon Valley,San Jose,Spinach,produce,278,bags,2026-02-20,7,2026-02-27,-14,30,surplus
Alameda County Community Food Bank,Oakland,Canned black beans,canned,280,cans,2026-03-10,730,2028-03-09,727,60,surplus
Alameda County Community Food Bank,Oakland,Almond butter,dry,116,jars,2026-02-26,365,2027-02-26,350,70,balanced
San Francisco-Marin Food Bank,San Francisco,Bell peppers,produce,136,lbs,2026-03-11,10,2026-03-21,8,48,balanced
San Francisco-Marin Food Bank,San Francisco,Cheese blocks,dairy,367,blocks,2026-03-13,30,2026-04-12,30,89,surplus
Second Harvest of Silicon Valley,San Jose,Lentils,dry,297,bags,2026-03-05,730,2028-03-04,722,82,surplus
Los Angeles Regional Food Bank,Los Angeles,Chicken breast frozen,protein,273,packs,2026-02-27,180,2026-08-26,166,105,balanced
Second Harvest Food Bank of Orange County,Irvine,Carrots fresh,produce,301,lbs,2026-03-09,21,2026-03-30,17,113,balanced
Yolo Food Bank,Woodland,Canned carrots,canned,20,cans,2026-02-24,730,2028-02-24,713,112,shortage
Sacramento Food Bank & Family Services,Sacramento,Oranges,produce,65,lbs,2026-03-03,14,2026-03-17,4,86,shortage
San Francisco-Marin Food Bank,San Francisco,Canned tuna,canned,204,cans,2026-02-17,730,2028-02-17,706,115,balanced
Los Angeles Regional Food Bank,Los Angeles,Lentils,dry,88,bags,2026-03-12,730,2028-03-11,729,93,shortage
Food Bank of Contra Costa and Solano,Concord,Sugar,dry,206,bags,2026-02-19,730,2028-02-19,708,111,balanced
Sacramento Food Bank & Family Services,Sacramento,Canned salmon,canned,287,cans,2026-02-16,730,2028-02-16,705,22,surplus
Sacramento Food Bank & Family Services,Sacramento,Chicken breast frozen,protein,24,packs,2026-03-10,180,2026-09-06,177,59,shortage
Alameda County Community Food Bank,Oakland,Sugar,dry,68,bags,2026-02-20,730,2028-02-20,709,47,balanced
Food Bank of Contra Costa and Solano,Concord,Broccoli,produce,289,lbs,2026-03-08,7,2026-03-15,2,58,surplus
Food Bank of Contra Costa and Solano,Concord,Canned tuna,canned,127,cans,2026-02-19,730,2028-02-19,708,84,balanced
Los Angeles Regional Food Bank,Los Angeles,Canned salmon,canned,41,cans,2026-03-04,730,2028-03-03,721,92,shortage
Feeding San Diego,San Diego,Canned black beans,canned,313,cans,2026-02-25,730,2028-02-25,714,26,surplus
Second Harvest of Silicon Valley,San Jose,Brown rice,dry,83,bags,2026-03-03,365,2027-03-03,355,50,balanced
Second Harvest of Silicon Valley,San Jose,Macaroni,dry,11,boxes,2026-02-25,730,2028-02-25,714,52,shortage
Alameda County Community Food Bank,Oakland,Avocados,produce,331,units,2026-03-12,7,2026-03-19,6,40,surplus
Sacramento Food Bank & Family Services,Sacramento,Egg cartons,dairy,339,cartons,2026-03-09,21,2026-03-30,17,73,surplus
Second Harvest Food Bank of Orange County,Irvine,Canned chickpeas,canned,331,cans,2026-03-11,730,2028-03-10,728,92,surplus
Central California Food Bank,Fresno,Spinach,produce,369,bags,2026-03-01,7,2026-03-08,-5,64,surplus
San Francisco-Marin Food Bank,San Francisco,Butter,dairy,283,packs,2026-02-26,60,2026-04-27,45,77,surplus
Los Angeles Regional Food Bank,Los Angeles,Rice 5lb bag,dry,198,bags,2026-02-23,730,2028-02-23,712,86,balanced
Sacramento Food Bank & Family Services,Sacramento,Pasta,dry,279,boxes,2026-03-02,730,2028-03-01,719,74,surplus
Second Harvest Food Bank of Orange County,Irvine,Chicken breast frozen,protein,50,packs,2026-03-11,180,2026-09-07,178,69,shortage
Feeding San Diego,San Diego,Almond butter,dry,268,jars,2026-02-19,365,2027-02-19,343,63,surplus
Sacramento Food Bank & Family Services,Sacramento,Canned salmon,canned,17,cans,2026-02-27,730,2028-02-27,716,50,shortage
Los Angeles Regional Food Bank,Los Angeles,Frozen vegetables mix,protein,246,bags,2026-02-23,365,2027-02-23,347,87,balanced
Alameda County Community Food Bank,Oakland,Almond butter,dry,276,jars,2026-03-05,365,2027-03-05,357,40,surplus
Los Angeles Regional Food Bank,Los Angeles,Canned tuna,canned,103,cans,2026-03-05,730,2028-03-04,722,86,balanced
Food Bank of Contra Costa and Solano,Concord,Rice 5lb bag,dry,319,bags,2026-03-01,730,2028-02-29,718,118,balanced
San Francisco-Marin Food Bank,San Francisco,Cereal,dry,344,boxes,2026-02-21,180,2026-08-20,160,92,surplus
Sacramento Food Bank & Family Services,Sacramento,Canned salmon,canned,349,cans,2026-03-05,730,2028-03-04,722,45,surplus
Feeding San Diego,San Diego,Canned tomatoes,canned,22,cans,2026-03-04,730,2028-03-03,721,26,shortage
Second Harvest of Silicon Valley,San Jose,Canned salmon,canned,108,cans,2026-03-06,730,2028-03-05,723,110,shortage
Yolo Food Bank,Woodland,Carrots fresh,produce,313,lbs,2026-02-17,21,2026-03-10,-3,31,surplus
Alameda County Community Food Bank,Oakland,Frozen berries,protein,118,bags,2026-02-26,365,2027-02-26,350,90,balanced
Yolo Food Bank,Woodland,Lentils,dry,232,bags,2026-03-02,730,2028-03-01,719,114,balanced
Yolo Food Bank,Woodland,Broccoli,produce,127,lbs,2026-02-22,7,2026-03-01,-12,112,balanced
Alameda County Community Food Bank,Oakland,Avocados,produce,113,units,2026-02-23,7,2026-03-02,-11,99,balanced
Los Angeles Regional Food Bank,Los Angeles,Spaghetti,dry,49,boxes,2026-03-05,730,2028-03-04,722,28,balanced
Los Angeles Regional Food Bank,Los Angeles,Bananas,produce,129,lbs,2026-03-04,7,2026-03-11,-2,113,balanced
Food Bank of Contra Costa and Solano,Concord,Bell peppers,produce,207,lbs,2026-02-21,10,2026-03-03,-10,81,balanced
Sacramento Food Bank & Family Services,Sacramento,Bell peppers,produce,348,lbs,2026-02-24,10,2026-03-06,-7,86,surplus
Food Bank of Contra Costa and Solano,Concord,Sugar,dry,20,bags,2026-03-10,730,2028-03-09,727,74,shortage
Feeding San Diego,San Diego,Canned soup,canned,325,cans,2026-03-13,540,2027-09-04,540,114,balanced
Central California Food Bank,Fresno,Rice 5lb bag,dry,121,bags,2026-03-11,730,2028-03-10,728,50,balanced
Food Bank of Contra Costa and Solano,Concord,Canned tomatoes,canned,120,cans,2026-03-01,730,2028-02-29,718,61,balanced
Central California Food Bank,Fresno,Bell peppers,produce,148,lbs,2026-02-25,10,2026-03-07,-6,101,balanced
Central California Food Bank,Fresno,Frozen berries,protein,245,bags,2026-03-10,365,2027-03-10,362,65,surplus
Los Angeles Regional Food Bank,Los Angeles,Canned salmon,canned,74,cans,2026-03-10,730,2028-03-09,727,83,shortage
Alameda County Community Food Bank,Oakland,Canned green beans,canned,330,cans,2026-03-12,730,2028-03-11,729,38,surplus
Sacramento Food Bank & Family Services,Sacramento,Spaghetti,dry,62,boxes,2026-03-01,730,2028-02-29,718,113,shortage
Central California Food Bank,Fresno,Canned carrots,canned,313,cans,2026-02-18,730,2028-02-18,707,104,surplus
Food Bank of Contra Costa and Solano,Concord,Canned tuna,canned,43,cans,2026-02-26,730,2028-02-26,715,61,shortage
Los Angeles Regional Food Bank,Los Angeles,Brown rice,dry,183,bags,2026-02-19,365,2027-02-19,343,78,balanced
Sacramento Food Bank & Family Services,Sacramento,Canned soup,canned,140,cans,2026-03-10,540,2027-09-01,537,69,balanced
Food Bank of Contra Costa and Solano,Concord,Lentils,dry,366,bags,2026-03-08,730,2028-03-07,725,81,surplus
Alameda County Community Food Bank,Oakland,Egg cartons,dairy,308,cartons,2026-03-04,21,2026-03-25,12,103,balanced
Second Harvest Food Bank of Orange County,Irvine,Brown rice,dry,163,bags,2026-02-19,365,2027-02-19,343,112,balanced
Yolo Food Bank,Woodland,Canned tomatoes,canned,267,cans,2026-02-22,730,2028-02-22,711,43,surplus
Los Angeles Regional Food Bank,Los Angeles,Pasta,dry,139,boxes,2026-03-04,730,2028-03-03,721,41,surplus
Sacramento Food Bank & Family Services,Sacramento,Potatoes,produce,314,lbs,2026-02-17,30,2026-03-19,6,53,surplus
Feeding San Diego,San Diego,Oatmeal,dry,359,boxes,2026-02-28,365,2027-02-28,352,45,surplus
Second Harvest Food Bank of Orange County,Irvine,Canned corn,canned,219,cans,2026-02-16,730,2028-02-16,705,93,balanced
Second Harvest of Silicon Valley,San Jose,Canned tuna,canned,128,cans,2026-02-16,730,2028-02-16,705,103,balanced
Los Angeles Regional Food Bank,Los Angeles,Lettuce,produce,346,heads,2026-02-27,10,2026-03-09,-4,58,surplus
San Francisco-Marin Food Bank,San Francisco,Canned black beans,canned,189,cans,2026-03-03,730,2028-03-02,720,86,balanced
Central California Food Bank,Fresno,Bananas,produce,374,lbs,2026-03-08,7,2026-03-15,2,84,surplus
Yolo Food Bank,Woodland,Canned peas,canned,126,cans,2026-03-10,730,2028-03-09,727,55,balanced
Sacramento Food Bank & Family Services,Sacramento,Tomatoes,produce,169,lbs,2026-03-08,10,2026-03-18,5,89,balanced
Alameda County Community Food Bank,Oakland,Spaghetti,dry,125,boxes,2026-02-28,730,2028-02-28,717,113,balanced
Yolo Food Bank,Woodland,Canned tuna,canned,358,cans,2026-03-07,730,2028-03-06,724,112,surplus
Central California Food Bank,Fresno,Onions,produce,52,lbs,2026-02-26,30,2026-03-28,15,36,balanced
Central California Food Bank,Fresno,Spinach,produce,154,bags,2026-02-17,7,2026-02-24,-17,35,surplus
Central California Food Bank,Fresno,Chicken breast frozen,protein,30,packs,2026-03-07,180,2026-09-03,174,101,shortage
Sacramento Food Bank & Family Services,Sacramento,Rice 5lb bag,dry,368,bags,2026-02-21,730,2028-02-21,710,79,surplus
Second Harvest of Silicon Valley,San Jose,Peanut butter,dry,275,jars,2026-02-27,365,2027-02-27,351,31,surplus
Alameda County Community Food Bank,Oakland,Peanut butter,dry,93,jars,2026-02-26,365,2027-02-26,350,48,balanced
Los Angeles Regional Food Bank,Los Angeles,Sugar,dry,297,bags,2026-03-02,730,2028-03-01,719,58,surplus
Second Harvest Food Bank of Orange County,Irvine,Rice 5lb bag,dry,237,bags,2026-02-16,730,2028-02-16,705,74,surplus
Feeding San Diego,San Diego,Canned black beans,canned,289,cans,2026-02-22,730,2028-02-22,711,64,surplus
Feeding San Diego,San Diego,Bananas,produce,354,lbs,2026-02-16,7,2026-02-23,-18,114,surplus
Second Harvest Food Bank of Orange County,Irvine,Canned carrots,canned,365,cans,2026-03-11,730,2028-03-10,728,70,surplus
Second Harvest Food Bank of Orange County,Irvine,Lettuce,produce,293,heads,2026-03-11,10,2026-03-21,8,106,balanced
Second Harvest of Silicon Valley,San Jose,Chicken breast frozen,protein,354,packs,2026-02-28,180,2026-08-27,167,68,surplus
Second Harvest Food Bank of Orange County,Irvine,Broccoli,produce,45,lbs,2026-02-16,7,2026-02-23,-18,35,balanced
Feeding San Diego,San Diego,Canned beans,canned,333,cans,2026-02-19,730,2028-02-19,708,96,surplus
Alameda County Community Food Bank,Oakland,Canned beans,canned,278,cans,2026-03-07,730,2028-03-06,724,48,surplus
Second Harvest of Silicon Valley,San Jose,Pasta,dry,265,boxes,2026-02-18,730,2028-02-18,707,76,surplus
Second Harvest of Silicon Valley,San Jose,Carrots fresh,produce,288,lbs,2026-03-06,21,2026-03-27,14,43,surplus
Feeding San Diego,San Diego,Canned tuna,canned,205,cans,2026-03-12,730,2028-03-11,729,96,balanced
Sacramento Food Bank & Family Services,Sacramento,Chicken breast frozen,protein,94,packs,2026-03-07,180,2026-09-03,174,87,balanced
San Francisco-Marin Food Bank,San Francisco,Canned peas,canned,297,cans,2026-03-02,730,2028-03-01,719,102,balanced
Central California Food Bank,Fresno,Canned corn,canned,355,cans,2026-02-21,730,2028-02-21,710,25,surplus
